battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_error,cycle200_abs_error,actual_future_slope_per100,predicted_future_slope_per100,trend_sign_match
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0004185423100435859,0.0004981391199558189,0.0009998193084630458,-0.0009998193084630458,0.0009998193084630458,-0.004906472045454469,-0.006619261345253147,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,local_linear,0.0002605221150005144,0.00030317933751995414,0.0006498004500009591,0.0003498554000009868,0.0003498554000009868,-0.004906472045454469,-0.004181474999997992,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,strategy_template,0.0007120048720000072,0.000748278500919841,0.0010994986166668053,0.0007349542166665834,0.0007349542166665834,-0.004906472045454469,-0.0038943287254903304,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,supervised_ridge,0.00010402456992259613,0.0001369734723767278,0.0002972772975018412,-6.325894885994554e-05,6.325894885994554e-05,-0.004906472045454469,-0.005014322591317528,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,template_individual,0.0002242227768456706,0.0002473664216166546,0.00043765531684258896,4.5355129278612516e-05,4.5355129278612516e-05,-0.004906472045454469,-0.0048994929872884126,True
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,9.946683976518766e-05,0.0001203553900693384,0.0002634395171289272,-0.00015343812961610137,0.00015343812961610137,-0.003328955882353164,-0.003535157993100353,True
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.00011181240473750575,0.00014977638552508233,0.00033612209304478835,-0.00026394729547563056,0.00026394729547563056,-0.003328955882353164,-0.00395094482927669,True
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,local_linear,8.264077400000236e-05,0.00010581592772150688,0.0002692768454545247,1.0502081818186682e-05,1.0502081818186682e-05,-0.003328955882353164,-0.0031796936363634055,True
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,strategy_template,0.0007887833616666451,0.0009094387336995824,0.0012997182833333065,0.001251313116666708,0.001251313116666708,-0.003328955882353164,-0.0,False
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,supervised_ridge,0.00023303147718292338,0.00028736274982310784,0.0005791423170747878,-0.0005081087080273106,0.0005081087080273106,-0.003328955882353164,-0.004222103364170314,True
26,5_3C_54PER_4C_NEWSTRUCTURE,S5,template_individual,0.00010836783361901636,0.0001569949664120393,0.0003941878656338327,1.0718289392697145e-06,1.0718289392697145e-06,-0.003328955882353164,-0.003144899565626913,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.923838232194004e-05,0.0001263539398399006,0.0002757548482400507,0.00013796606205562778,0.00013796606205562778,-0.004228723589743532,-0.003890351905875278,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0003273941619669296,0.0003594260063399728,0.0005435565731558567,-0.0004259558111633366,0.0004259558111633366,-0.004228723589743532,-0.004765626655518806,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,local_linear,0.0003634215520000228,0.0004110547906185521,0.000735457400000028,0.000735457400000028,0.000735457400000028,-0.004228723589743532,-0.002924429999999909,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,strategy_template,0.000528220540666664,0.0005762857418454449,0.0008938828000000232,0.0004977166999999838,0.0004977166999999838,-0.004228723589743532,-0.0038699213541666666,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,supervised_ridge,0.00010502864453727945,0.0001262444415514922,0.00024677239487047586,-2.3307740103284402e-05,2.3307740103284402e-05,-0.004228723589743532,-0.004446904943542812,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,template_individual,0.00018456722135036906,0.00021276023990142592,0.00038013118333823925,-0.00029429188716123544,0.00029429188716123544,-0.004228723589743532,-0.004538678580775363,True
28,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00010467917482148481,0.0001251369915419535,0.0002798307460999405,0.00013440410521836643,0.00013440410521836643,-0.0041792499999999885,-0.004008701730926574,True
