C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,2.5,44.703998067287,12.143983975253382,56.84798204254039,0.003507527052201789,0.0018526755560565652,0.001654851496145224,0.0009263377780282826,0.003507527052201789,0.005360202608258355,0.0018526755560565652,1.0,0.9929849458955964,1382.7572730837912,False,9.817210070512763,physical_offset,1382.7572730837912,1,2.5
5.2,58.0,4.5,6.692307692307692,2.933333333333333,9.625641025641025,3.7589743589743585,0.2762645110059046,3,True,True,True,True,2.5,44.703998067287,11.81310266319776,56.51710073048476,0.0034817072830402693,0.0018527432262216887,0.0016289640568185805,0.0009263716131108444,0.0034817072830402693,0.005334450509261958,0.0018527432262216887,1.0,0.9930365854339195,1384.0466826592315,False,9.849444502747195,physical_offset,1384.0466826592315,2,2.5
5.15,60.0,4.55,6.990291262135922,2.6373626373626373,9.62765389949856,4.352928624773284,0.31575705760628076,3,True,True,True,True,2.5,45.14184819799107,11.039985432048528,56.18183363003959,0.003388470224208102,0.001852619138642149,0.001535851085565953,0.0009263095693210745,0.003388470224208102,0.005241089362850251,0.001852619138642149,1.0,0.9932230595515837,1388.8246163815486,False,9.85145737660473,physical_offset,1388.8246163815486,3,2.5
5.1,63.0,4.6,7.411764705882353,2.2173913043478266,9.62915601023018,5.194373401534527,0.3267919738438435,2,True,True,True,True,2.5,46.25684444657554,9.643918101580912,55.90076254815645,0.003195729024621368,0.0018521860218767884,0.0013435430027445795,0.0009260930109383942,0.003195729024621368,0.005047915046498156,0.0018521860218767884,1.0,0.9936085419507572,1398.812198091196,False,9.85295948733635,physical_offset,1398.812198091196,4,2.5
5.1,63.0,4.55,7.411764705882353,2.2417582417582422,9.653522947640596,5.170006464124111,0.301438246295025,2,True,True,True,True,2.5,46.25684444657554,9.38398761724125,55.64083206381679,0.003175445784501225,0.001852239181539045,0.0013232066029621801,0.0009261195907695225,0.003175445784501225,0.00502768496604027,0.001852239181539045,1.0,0.9936491084309975,1399.8373311078367,False,9.877326424746766,physical_offset,1399.8373311078367,5,2.5
5.05,65.0,4.65,7.722772277227723,1.9354838709677418,9.658256148195465,5.787288406259981,0.28985051768693937,1,True,True,True,True,2.5,46.56416451341391,8.742460007272541,55.30662452068645,0.0031022875425925746,0.0018521723106850034,0.0012501152319075713,0.0009260861553425017,0.0031022875425925746,0.004954459853277578,0.0018521723106850034,1.0,0.9937954249148149,1403.621290489895,False,9.882059625301634,physical_offset,1403.621290489895,6,2.5
5.05,66.0,4.6,7.841584158415842,1.8260869565217392,9.667671114937582,6.015497201894103,0.2847233115900808,1,True,True,True,True,2.5,47.28053627515873,7.942050201301929,55.22258647646066,0.002985987491004684,0.0018518742930862975,0.0011341131979183863,0.0009259371465431488,0.002985987491004684,0.004837861784090981,0.0018518742930862975,1.0,0.9940280250179906,1409.7189723324548,False,9.891474592043751,physical_offset,1409.7189723324548,7,2.5
5.05,66.0,4.55,7.841584158415842,1.8461538461538463,9.687738004569688,5.9954303122619965,0.29112931763577277,2,True,True,True,True,2.5,47.28053627515873,7.727989802433972,55.008526077592705,0.0029692836461998598,0.0018519180716316853,0.0011173655745681744,0.0009259590358158427,0.0029692836461998598,0.004821201717831545,0.0018519180716316853,1.0,0.9940614327076003,1410.5699697666287,False,9.911541481675858,physical_offset,1410.5699697666287,8,2.5
5.0,69.0,4.65,8.28,1.4193548387096773,9.699354838709677,6.860645161290322,0.22322894004911492,1,True,True,True,True,2.5,48.215215764839215,6.411137338666528,54.62635310350574,0.0027962761795794987,0.001851584971351824,0.0009446912082276748,0.000925792485675912,0.0027962761795794987,0.004647861150931323,0.001851584971351824,1.0,0.994407447640841,1419.664347267205,False,9.923158315815847,physical_offset,1419.664347267205,9,2.5
5.0,69.0,4.6,8.28,1.434782608695652,9.714782608695652,6.845217391304347,0.2338349954664919,1,True,True,True,True,2.5,48.215215764839215,6.240182301022941,54.455398065862155,0.0027829359894625833,0.0018516199342077015,0.0009313160552548818,0.0009258099671038508,0.0027829359894625833,0.004634555923670285,0.0018516199342077015,1.0,0.9944341280210749,1420.348875502538,False,9.938586085801822,physical_offset,1420.348875502538,10,2.5
