model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse,scope
separate_phase_exposure,3.0,0.0,A,0.0008717680684176488,0.0006860352246669269,3.1529872178568454,dataset3_only
separate_phase_exposure,3.0,0.0,combined,,,2.147596253002267,dataset3_only
separate_phase_exposure,3.0,0.03,R100,0.006774496436852018,0.005206671858156548,1.1515031084247977,dataset3_only
separate_phase_exposure,3.0,0.03,A,0.0005918610211383514,0.0005121897901193054,2.1406269649038028,dataset3_only
separate_phase_exposure,3.0,0.03,combined,,,1.6460650366643002,dataset3_only
separate_phase_exposure,3.0,0.1,R100,0.006806447030028868,0.005020169006847383,1.1569339485916066,dataset3_only
separate_phase_exposure,3.0,0.1,A,0.0005426518017325534,0.0004689035558782093,1.962648388481729,dataset3_only
separate_phase_exposure,3.0,0.1,combined,,,1.5597911685366679,dataset3_only
separate_phase_exposure,3.0,0.3,R100,0.006823678649141292,0.004835627907649169,1.1598629135938183,dataset3_only
separate_phase_exposure,3.0,0.3,A,0.0005155891365495815,0.0004436380683372193,1.8647688715616728,dataset3_only
separate_phase_exposure,3.0,0.3,combined,,,1.5123158925777456,dataset3_only
separate_phase_exposure,3.0,1.0,R100,0.006778569482802335,0.0046249248722808655,1.152195429266098,dataset3_only
separate_phase_exposure,3.0,1.0,A,0.0004925876069846995,0.00042416031317507873,1.7815775603212105,dataset3_only
separate_phase_exposure,3.0,1.0,combined,,,1.4668864947936542,dataset3_only
separate_phase_exposure,3.0,3.0,R100,0.006664361538351069,0.004311928916913621,1.1327827977490093,dataset3_only
separate_phase_exposure,3.0,3.0,A,0.0004625649131096184,0.00040192176948483427,1.672992291528813,dataset3_only
separate_phase_exposure,3.0,3.0,combined,,,1.402887544638911,dataset3_only
separate_phase_exposure,3.0,10.0,R100,0.006598856710750269,0.004292796759771903,1.1216485365825508,dataset3_only
separate_phase_exposure,3.0,10.0,A,0.00041252104261192,0.00036508271830746567,1.491994971567636,dataset3_only
separate_phase_exposure,3.0,10.0,combined,,,1.3068217540750933,dataset3_only
summed_stress_benchmark,3.0,0.0,R100,0.006020559384563712,0.004162296611231401,1.0233517591165335,dataset3_only
summed_stress_benchmark,3.0,0.0,A,0.0004800261304418368,0.00039865847879555407,1.7361455510381174,dataset3_only
summed_stress_benchmark,3.0,0.0,combined,,,1.3797486550773255,dataset3_only
summed_stress_benchmark,3.0,0.03,R100,0.006020144278193306,0.004149281328804739,1.023281200916333,dataset3_only
summed_stress_benchmark,3.0,0.03,A,0.0004790080169670839,0.0003980639791756676,1.7324632657049892,dataset3_only
summed_stress_benchmark,3.0,0.03,combined,,,1.377872233310661,dataset3_only
summed_stress_benchmark,3.0,0.1,R100,0.006019517206826493,0.004119507806913683,1.023174613713163,dataset3_only
summed_stress_benchmark,3.0,0.1,A,0.0004766830649538494,0.00039670401272494713,1.7240544420219144,dataset3_only
summed_stress_benchmark,3.0,0.1,combined,,,1.3736145278675387,dataset3_only
summed_stress_benchmark,3.0,0.3,R100,0.006020076021318198,0.004038774213861388,1.0232695988726106,dataset3_only
summed_stress_benchmark,3.0,0.3,A,0.00047040780302280954,0.00039301634089361276,1.7013582440604706,dataset3_only
summed_stress_benchmark,3.0,0.3,combined,,,1.3623139214665407,dataset3_only
summed_stress_benchmark,3.0,1.0,R100,0.0060412185907794316,0.003798591774530808,1.0268633323230056,dataset3_only
summed_stress_benchmark,3.0,1.0,A,0.00045200499417704596,0.0003820455171953934,1.634799461781745,dataset3_only
summed_stress_benchmark,3.0,1.0,combined,,,1.3308313970523753,dataset3_only
summed_stress_benchmark,3.0,3.0,R100,0.006159712490216097,0.003605751208706407,1.0470044741484636,dataset3_only
summed_stress_benchmark,3.0,3.0,A,0.0004184152185703227,0.00036127931519519253,1.5133128680700567,dataset3_only
summed_stress_benchmark,3.0,3.0,combined,,,1.2801586711092603,dataset3_only
summed_stress_benchmark,3.0,10.0,R100,0.00648716883296222,0.004310624206942712,1.1026642564009719,dataset3_only
summed_stress_benchmark,3.0,10.0,A,0.0003748355777511433,0.00033220663239491116,1.3556951995185216,dataset3_only
summed_stress_benchmark,3.0,10.0,combined,,,1.2291797279597467,dataset3_only
raw_parameters,,0.0,R100,0.005852462740405495,0.004734647918662986,1.1157295176609665,all_parameterized
raw_parameters,,0.0,A,0.003372427352108697,0.002704402628877919,1.9141850901656756,all_parameterized
raw_parameters,,0.0,combined,,,1.514957303913321,all_parameterized
raw_parameters,,0.03,R100,0.005813513330016178,0.004697161476445666,1.1083040954422443,all_parameterized
raw_parameters,,0.03,A,0.003329990038314792,0.0026662308041768687,1.8900977296832675,all_parameterized
raw_parameters,,0.03,combined,,,1.499200912562756,all_parameterized
raw_parameters,,0.1,R100,0.005737142885932144,0.0046183814101628615,1.0937446249217144,all_parameterized
