scope,response,iteration,predictor,standardized_beta
all_unadjusted,SOH_200,103,C2,-0.39954311946225407
all_unadjusted,SOH_200,104,C1,0.3879703799763414
all_unadjusted,SOH_200,104,Q1,-0.09426622984697035
all_unadjusted,SOH_200,104,C2,-1.041940159547659
all_unadjusted,SOH_200,105,C1,-0.42102183440901836
all_unadjusted,SOH_200,105,Q1,0.582142363980881
all_unadjusted,SOH_200,105,C2,-0.021986829537661512
all_unadjusted,SOH_200,106,C1,0.1570989174437168
all_unadjusted,SOH_200,106,Q1,-0.17037743925604276
all_unadjusted,SOH_200,106,C2,-1.0541073662977318
all_unadjusted,SOH_200,107,C1,0.05717554014249676
all_unadjusted,SOH_200,107,Q1,-0.05887234614692326
all_unadjusted,SOH_200,107,C2,-0.5614033439272238
all_unadjusted,SOH_200,108,C1,0.19691227531083366
all_unadjusted,SOH_200,108,Q1,-0.25929794972687403
all_unadjusted,SOH_200,108,C2,-0.7947707838944263
all_unadjusted,SOH_200,109,C1,-0.15627936973692846
all_unadjusted,SOH_200,109,Q1,-0.8204769678483379
all_unadjusted,SOH_200,109,C2,-0.8755672931424388
all_unadjusted,SOH_200,110,C1,0.39020350832458095
all_unadjusted,SOH_200,110,Q1,0.17460693861442966
all_unadjusted,SOH_200,110,C2,-0.7236470168782496
all_unadjusted,SOH_200,111,C1,0.7077200063326462
all_unadjusted,SOH_200,111,Q1,0.39280973145588405
all_unadjusted,SOH_200,111,C2,-0.047432557570935285
all_unadjusted,SOH_200,113,C1,0.19909842102897077
all_unadjusted,SOH_200,113,Q1,0.35926801715617424
all_unadjusted,SOH_200,113,C2,-0.18817209932369586
all_unadjusted,SOH_200,114,C1,0.2892596082573397
all_unadjusted,SOH_200,114,Q1,0.2592518106616357
all_unadjusted,SOH_200,114,C2,-0.6735313776821304
all_unadjusted,SOH_200,115,C1,-0.07220791953226705
all_unadjusted,SOH_200,115,Q1,0.5151570163651066
all_unadjusted,SOH_200,115,C2,-0.021316662348631825
