battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_abs_error,trend_sign_match,model_RMSE_mean
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.091844679637529e-05,0.00011638352004211377,0.00027883210235724043,0.0001365429141171326,True,0.0003613168770037458
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0002681004062298564,0.0003164827706764057,0.0005414426707938125,0.0005414426707938125,True,0.0005139258875932585
44,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.00011379838210515913,0.00012741053036572101,0.0002231275842571323,0.00021383914232531165,True,0.000596795289142928
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.0001972192807716455,0.00022271285955367606,0.00038932199368280074,0.00038609628087038494,True,0.0003613168770037458
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.0004806550321309988,0.0005205062244515726,0.0008152112213928309,0.0008152112213928309,True,0.0005139258875932585
45,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.0006902397305409491,0.000767841643308832,0.0012336458520288973,0.0012336458520288973,True,0.000596795289142928
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.00011469836406751587,0.00015862334313415194,0.000479807845198188,8.307677998797836e-05,True,0.0003613168770037458
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.00022694424137846613,0.000258691620236834,0.0006212778583896128,0.0002259233325500043,True,0.0005139258875932585
46,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,policy_informed_quadratic,0.0003872907657342961,0.0004215853848149669,0.0008642977860059409,0.0004972030883527712,True,0.000596795289142928
47,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,0.00030119591088487494,0.0003596048023168875,0.000765699143448928,0.0005746320055032283,True,0.0003613168770037458
47,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.00034578088303202745,0.00039287990813934986,0.000783597708994388,0.0005855657756411725,True,0.0005139258875932585
47,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.0004992098860029648,0.0005542624835489024,0.0010201052246697762,0.0008331779245003279,True,0.000596795289142928
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,0.00010253891634059098,0.00011472784695523136,0.00020991964934713447,4.847734006441229e-06,True,0.0003613168770037458
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,9.688857743908708e-05,0.00011687655727947517,0.0002545851452271375,5.096582868180377e-06,True,0.0005139258875932585
48,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.00032975015633575746,0.00036468068769549873,0.0006363686087449416,0.0004900227769618626,True,0.000596795289142928
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.00022260207874505555,0.00041834566290016665,0.0016930093420191028,0.00023765528156660665,True,0.0003613168770037458
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.00021017022138576148,0.000399598943782356,0.0016343274630643556,0.00017700960435362845,True,0.0005139258875932585
49,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,policy_informed_quadratic,0.00025813129757363385,0.00045220299202920565,0.0017798668981809929,0.00032476479143805914,True,0.000596795289142928
